曲名,歌手名,ユーザー,スコア,日付
繋いだ手から,back number,まつりく,77.914,2024/07/17 17:03:47
fish(生音),back number,まつりく,84.902,2024/07/17 17:09:24
SISTER(生音),back number,まつりく,73.664,2024/07/17 17:18:06
アイネクライネ,米津玄師,まつりく,84.681,2024/07/17 17:23:04
me me she,RADWIMPS,まつりく,74.408,2024/07/17 17:31:23
恋人ごっこ(生音),マカロニえんぴつ,まつりく,78.224,2024/07/17 17:35:02
恋だろ(生音),wacci,まつりく,88.780,2024/07/17 17:37:52
恋だろ(生音),wacci,まつりく,87.359,2024/07/17 17:44:46
恋だろ(生音),wacci,まつりく,89.373,2024/07/17 17:50:51
恋だろ(生音),wacci,まつりく,84.765,2024/07/17 17:57:54
サウダージ(生音),ポルノグラフィティ,まつりく,85.391,2024/07/17 18:05:52
手紙(生音),back number,まつりく,78.324,2024/07/17 18:09:22
手紙(生音),back number,まつりく,76.226,2024/07/17 18:12:29
瞬き(生音),back number,まつりく,86.247,2024/07/17 18:16:04
恋(生音),back number,まつりく,88.030,2024/07/17 18:25:37
Crazy Crazy,星野 源,まつりく,87.789,2024/07/17 18:36:50
地獄でなぜ悪い,星野 源,まつりく,84.736,2024/07/17 18:41:40
SUN,星野 源,まつりく,82.712,2024/07/17 18:45:47
恋だろ(生音),wacci,まつりく,87.684,2024/07/17 18:50:18
さよならエレジー(生音),菅田将暉,まつりく,87.467,2024/07/17 19:01:23
さよならエレジー(生音),菅田将暉,まつりく,89.997,2024/07/17 19:06:05
恋だろ(生音),wacci,まつりく,85.814,2024/07/17 19:11:16
恋だろ(生音),wacci,まつりく,88.352,2024/07/17 19:14:58
Crazy Crazy,星野 源,まつりく,88.489,2024/07/17 19:23:17
さよならエレジー(生音),菅田将暉,まつりく,92.034,2024/07/17 19:27:05
君に届け(生音),flumpool,まつりく,82.946,2024/07/17 19:36:53
猫(生音),DISH//,まつりく,85.993,2024/07/17 19:43:06
ひまわりの約束(生音),秦 基博,まつりく,84.957,2024/07/17 19:49:06
Friend Ship,星野 源,まつりく,86.225,2024/07/22 14:08:39
魔法の絨毯,川崎鷹也,まつりく,85.236,2024/07/22 14:15:02
